z/b	c/b
0	0.20952381
0.01	0.20952381
0.02	0.20952381
0.03	0.20952381
0.04	0.20952381
0.05	0.20952381
0.06	0.20952381
0.07	0.20952381
0.08	0.20952381
0.09	0.20952381
0.1	0.20952381
0.11	0.20952381
0.12	0.20952381
0.13	0.20952381
0.14	0.20952381
0.15	0.20952381
0.16	0.20952381
0.17	0.20952381
0.18	0.20952381
0.19	0.20952381
0.2	0.20952381
0.21	0.20776054
0.22	0.20599727
0.23	0.204234
0.24	0.20247073
0.25	0.20070746
0.26	0.198944191
0.27	0.197180921
0.28	0.195417651
0.29	0.193654381
0.3	0.191891111
0.31	0.190127842
0.32	0.188364572
0.33	0.186601302
0.34	0.184838032
0.35	0.183074762
0.36	0.181311493
0.37	0.179548223
0.38	0.177784953
0.39	0.176021683
0.4	0.174258413
0.41	0.172495144
0.42	0.170731874
0.43	0.168968604
0.44	0.165380952
0.45	0.162380952
0.46	0.157380952
0.47	0.147380952
0.48	0.13
0.49	0.09
0.5	0
